"Station","Date.local.","Tmax.C.","Period.Hrs.","Tmin.C.","Period.Hrs..1","Tgmin.C.","Period.Hrs..2","Tmean.C.","RHmean...","Period.Hrs..3","Freq"
"Dunedin, Musselburgh Ews","20210303:0900",22.2,24,13.7,24,9.6,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210304:0900",28.7,24,11.3,24,6.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210305:0900",15.8,24,12.1,24,9.1,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210306:0900",19,24,12.5,24,9.2,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210307:0900",21.1,24,10,24,4.7,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210308:0900",17.1,24,8.9,24,6.2,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210309:0900",16.4,24,11,24,8.4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210310:0900",21.4,24,13.2,24,12.3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210311:0900",17,24,8.8,24,5.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210312:0900",15.6,24,8.2,24,1.9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210313:0900",20.1,24,8,24,2.2,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210314:0900",19.9,24,10,24,4,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210315:0900",22.5,24,12.8,24,9,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210316:0900",22,24,11.2,24,6.2,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210317:0900",16.1,24,10,24,5.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210318:0900",15.9,24,5.8,24,-1.1,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210319:0900",16.2,24,8.4,24,3,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210320:0900",16.5,24,12,24,10.1,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210321:0900",18,24,12.4,24,8.5,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210322:0900",17.9,24,11.8,24,7.2,24,NA,NA,NA,"D"
"Dunedin, Musselburgh Ews","20210323:0900",19.2,24,12.7,24,11.3,24,NA,NA,NA,"D"
